EmployeeID,EmployeeName,Department,Gender,Ethnicity,Region,MonthlySalary,HireDate,ExitDate,AttritionFlag,PerformanceRating,HighPerformerAttrition,ReasonForLeaving,TenureYears,TenureBucket
1,Arthur Hammond,Sales,Female,Black,Asia,98459,2020-11-27,,0,Standard,0,,1.09,1-3 Years
2,Jacqueline Garcia,Sales,Female,Asian,Europe,101718,2017-01-18,,0,Standard,0,,4.95,3-5 Years
3,Cindy Gomez,Sales,Female,Asian,Asia,72354,2019-01-05,2021-10-26,1,Standard,0,Better Opportunity,2.81,1-3 Years
4,James Diaz,Sales,Male,Asian,North America,105215,2019-08-21,2021-10-03,1,High,1,Work-Life Balance,2.12,1-3 Years
5,Sandra Lewis,Sales,Male,Asian,North America,72692,2018-01-22,,0,Standard,0,,3.94,3-5 Years
6,Kristin Smith,Sales,Female,Asian,North America,90239,2016-08-31,,0,High,0,,5.34,5+ Years
7,Matthew White,Sales,Female,Other,Europe,73962,2019-09-03,,0,High,0,,2.33,1-3 Years
8,Michael Santiago,Sales,Male,Black,Asia,86732,2017-01-06,,0,Standard,0,,4.99,3-5 Years
9,Jesus Mann,Sales,Male,Black,South America,70795,2019-07-05,2021-12-14,1,Standard,0,Better Opportunity,2.45,1-3 Years
10,Jimmy Alvarado,Sales,Male,Asian,Europe,87688,2016-08-12,,0,High,0,,5.39,5+ Years
11,Nicholas Matthews,Sales,Male,Black,Europe,84516,2016-12-24,,0,High,0,,5.02,5+ Years
12,Julia Castro,Sales,Male,Asian,Asia,58760,2016-01-22,,0,Standard,0,,5.95,5+ Years
13,Jason Jackson,Sales,Female,Other,North America,111784,2020-09-16,,0,Standard,0,,1.29,1-3 Years
14,Julie Alexander,Sales,Female,Black,Europe,96779,2018-10-31,2021-12-22,1,Standard,0,Better Opportunity,3.15,3-5 Years
15,Samantha Sanchez,Sales,Female,Asian,South America,60259,2018-11-19,,0,Standard,0,,3.12,3-5 Years
16,Mrs. Alicia Allen,Sales,Male,Asian,South America,118401,2020-09-04,,0,Standard,0,,1.32,1-3 Years
17,Angela Walker,Sales,Female,Other,Europe,111975,2017-06-14,,0,Standard,0,,4.55,3-5 Years
18,Judy Alvarez,Sales,Male,Asian,Asia,92125,2019-01-26,,0,Standard,0,,2.93,1-3 Years
19,Donna Jones,Sales,Female,Asian,Asia,118775,2020-03-15,2021-07-21,1,Standard,0,Work-Life Balance,1.35,1-3 Years
20,Wesley Craig,Sales,Male,Asian,South America,102065,2016-05-22,,0,Standard,0,,5.61,5+ Years
21,Bradley Scott,Sales,Female,Asian,Asia,90710,2018-08-19,,0,Standard,0,,3.37,3-5 Years
22,Paul Diaz,Sales,Male,Asian,North America,108523,2017-02-07,,0,Standard,0,,4.9,3-5 Years
23,Jeffery Roberts,Sales,Male,Asian,North America,50594,2019-07-29,2021-12-13,1,High,1,Management Issues,2.38,1-3 Years
24,Julie Hernandez,Sales,Male,Black,South America,97439,2018-11-02,,0,High,0,,3.16,3-5 Years
25,Curtis Liu,Sales,Female,Asian,South America,64869,2020-12-09,,0,Standard,0,,1.06,1-3 Years
26,Justin Vega,Sales,Male,Asian,Europe,106064,2018-11-20,,0,Standard,0,,3.12,3-5 Years
27,Vickie Mccann,Sales,Male,Other,Asia,106077,2017-01-27,,0,High,0,,4.93,3-5 Years
28,Lisa Rodgers,Sales,Male,Asian,Europe,61581,2016-06-28,,0,Standard,0,,5.51,5+ Years
29,Cheryl Williams,Sales,Male,Black,Europe,47330,2018-02-11,,0,Standard,0,,3.89,3-5 Years
30,Joshua Leon,Sales,Male,Other,Asia,91818,2017-05-17,,0,Standard,0,,4.63,3-5 Years
31,Justin Drake,Sales,Male,Black,Asia,110979,2016-08-19,,0,Standard,0,,5.37,5+ Years
32,Allen Li,Sales,Male,Other,Europe,75045,2019-09-20,2021-07-28,1,Standard,0,Work-Life Balance,1.85,1-3 Years
33,Wendy Ruiz,Sales,Male,Black,Europe,72471,2018-02-23,,0,Standard,0,,3.85,3-5 Years
34,Brett Alexander,Sales,Female,Other,Europe,79479,2020-08-22,,0,Standard,0,,1.36,1-3 Years
35,Diane Mann,Sales,Female,Other,Europe,59924,2020-12-17,2021-07-21,1,Standard,0,Management Issues,0.59,0-1 Years
36,Chris Lee,Sales,Female,Asian,North America,49181,2019-08-19,,0,High,0,,2.37,1-3 Years
37,Paul Guerrero,Sales,Male,Asian,North America,79611,2018-01-30,2021-06-29,1,Standard,0,Work-Life Balance,3.41,3-5 Years
38,Jesse Jackson,Sales,Female,Other,North America,54292,2017-03-16,2021-11-17,1,Standard,0,Management Issues,4.68,3-5 Years
39,Teresa Chapman,Sales,Female,Asian,Europe,57075,2016-03-19,2021-11-17,1,Standard,0,Work-Life Balance,5.67,5+ Years
40,Charles Erickson,Sales,Female,Asian,North America,72024,2016-11-01,,0,Standard,0,,5.17,5+ Years
41,Debra George,Sales,Female,Black,North America,72253,2017-10-01,,0,Standard,0,,4.25,3-5 Years
42,April Martin,Sales,Female,Asian,Europe,57763,2018-03-09,,0,High,0,,3.82,3-5 Years
43,Donna Adams,Sales,Male,Black,Asia,94442,2016-05-07,2021-11-12,1,Standard,0,Management Issues,5.52,5+ Years
44,Scott Thornton,Sales,Female,Black,Asia,70490,2021-06-23,,0,Standard,0,,0.52,0-1 Years
45,Samantha Jefferson,Sales,Female,Asian,Europe,47049,2017-01-04,,0,Standard,0,,4.99,3-5 Years
46,Sean Taylor,Sales,Female,Asian,North America,56929,2017-11-20,,0,Standard,0,,4.12,3-5 Years
47,Elizabeth Key DVM,Sales,Female,Black,Europe,80392,2020-01-29,,0,Standard,0,,1.92,1-3 Years
48,Julia Carrillo,Sales,Female,Black,Asia,64962,2016-02-02,2021-11-26,1,Standard,0,Management Issues,5.82,5+ Years
49,Jason Smith,Sales,Female,Asian,South America,72236,2017-08-24,,0,Standard,0,,4.36,3-5 Years
50,Michele Simpson,Sales,Female,Black,South America,62756,2018-08-14,,0,Standard,0,,3.38,3-5 Years
51,Erica Williams,Sales,Female,Asian,North America,93108,2017-11-14,,0,Standard,0,,4.13,3-5 Years
52,Alexis West,Sales,Male,Black,Europe,89846,2019-06-10,,0,Standard,0,,2.56,1-3 Years
53,Michael Banks,Sales,Male,Black,South America,92248,2019-06-07,,0,Standard,0,,2.57,1-3 Years
54,John Jackson,Sales,Female,Black,North America,62192,2019-03-28,,0,High,0,,2.76,1-3 Years
55,Jamie Johnson,Sales,Male,Black,South America,100345,2020-09-09,,0,Standard,0,,1.31,1-3 Years
